id,domain,title,source,source_rank,source_id,source_item_url,artist,selection_group,metadata_year,popularity,length_group
songs_shape_of_you,songs,Shape of You,ListenBrainz all-time recordings / MusicBrainz,493,d7500dd6-b815-4299-88c6-3fbda358f1fc,https://musicbrainz.org/recording/d7500dd6-b815-4299-88c6-3fbda358f1fc,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,2017,98198,medium
songs_the_last,songs,The Last,ListenBrainz all-time recordings / MusicBrainz,497,fd13596a-2782-4e3c-8e00-67d7eda91166,https://musicbrainz.org/recording/fd13596a-2782-4e3c-8e00-67d7eda91166,Agust D,f09d2950-e3c6-47b2-b21c-2bad2cd3f616,2015,97830,medium
songs_somewhere_only_we_know,songs,Somewhere Only We Know,ListenBrainz all-time recordings / MusicBrainz,504,0868857f-740f-47c1-a2c7-b6323c185c63,https://musicbrainz.org/recording/0868857f-740f-47c1-a2c7-b6323c185c63,Keane,c7020c6d-cae9-4db3-92a7-e5c561cbad50,2004,97365,long
songs_the_sound_of_silence,songs,The Sound of Silence,ListenBrainz all-time recordings / MusicBrainz,506,ddfb4085-e87c-4b38-9ae6-e579f8a7e20e,https://musicbrainz.org/recording/ddfb4085-e87c-4b38-9ae6-e579f8a7e20e,Simon & Garfunkel,5d02f264-e225-41ff-83f7-d9b1f0b1874a,1985,97215,long
songs_money_for_nothing,songs,Money for Nothing,ListenBrainz all-time recordings / MusicBrainz,509,e6c7f0d6-2b44-435c-b321-2fb6bff9a555,https://musicbrainz.org/recording/e6c7f0d6-2b44-435c-b321-2fb6bff9a555,Dire Straits,614e3804-7d34-41ba-857f-811bad7c2b7a,1985,97047,medium
movies_the_dark_knight_rises,movies,The Dark Knight Rises,IMDb non-commercial datasets,13,tt1345836,https://www.imdb.com/title/tt1345836/,,,2012,2020692,long
movies_saving_private_ryan,movies,Saving Private Ryan,IMDb non-commercial datasets,23,tt0120815,https://www.imdb.com/title/tt0120815/,,,1998,1656859,medium
movies_the_truman_show,movies,The Truman Show,IMDb non-commercial datasets,39,tt0120382,https://www.imdb.com/title/tt0120382/,,,1998,1398689,medium
movies_leon_the_professional,movies,Léon: The Professional,IMDb non-commercial datasets,41,tt0110413,https://www.imdb.com/title/tt0110413/,,,1994,1361921,medium
movies_pirates_of_the_caribbean_the_curse_of_the_black_pearl,movies,Pirates of the Caribbean: The Curse of the Black Pearl,IMDb non-commercial datasets,42,tt0325980,https://www.imdb.com/title/tt0325980/,,,2003,1341419,long
