id,domain,title,source,source_rank,source_id,source_item_url,artist,selection_group,metadata_year,popularity,length_group,q25_score,g3_score,q38_score,g4_score,consensus_score,selection_split
songs_anpanman,songs,Anpanman,ListenBrainz all-time recordings / MusicBrainz,214,2a11a3da-5496-4c64-ad92-cf54a222d06e,https://musicbrainz.org/recording/2a11a3da-5496-4c64-ad92-cf54a222d06e,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2018,137188,short,80,95,95,100,92.50,final
songs_yellow,songs,Yellow,ListenBrainz all-time recordings / MusicBrainz,221,729cf505-94eb-4fbe-bc76-cbae44cff091,https://musicbrainz.org/recording/729cf505-94eb-4fbe-bc76-cbae44cff091,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,2000,135515,short,80,90,95,100,91.25,final
songs_ace_of_spades,songs,Ace of Spades,ListenBrainz all-time recordings / MusicBrainz,507,71209300-34e5-491d-81ad-76237d167604,https://musicbrainz.org/recording/71209300-34e5-491d-81ad-76237d167604,Motörhead,57961a97-3796-4bf7-9f02-a985a8979ae9,1986,97126,medium,80,90,95,95,90.00,final
songs_iron_man,songs,Iron Man,ListenBrainz all-time recordings / MusicBrainz,508,a15e2d0a-efcb-4f4f-ad54-22a4879bbcf9,https://musicbrainz.org/recording/a15e2d0a-efcb-4f4f-ad54-22a4879bbcf9,Black Sabbath,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,1986,97116,medium,80,90,95,95,90.00,final
songs_zombie,songs,Zombie,ListenBrainz all-time recordings / MusicBrainz,250,3bbeb4e3-ab6d-460d-bfc5-de49e4251061,https://musicbrainz.org/recording/3bbeb4e3-ab6d-460d-bfc5-de49e4251061,The Cranberries,c98d40fd-f6cf-4b26-883e-eaa515ee2851,1994,130402,short,80,90,95,90,88.75,final
songs_here_comes_the_sun,songs,Here Comes the Sun,ListenBrainz all-time recordings / MusicBrainz,251,440f60e8-0b25-4ec4-abb1-c6beec624ab0,https://musicbrainz.org/recording/440f60e8-0b25-4ec4-abb1-c6beec624ab0,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,1983,130223,long,80,95,95,85,88.75,final
songs_stairway_to_heaven,songs,Stairway to Heaven,ListenBrainz all-time recordings / MusicBrainz,118,ccfdd180-22e1-49b9-bd81-b5fcf2c6474e,https://musicbrainz.org/recording/ccfdd180-22e1-49b9-bd81-b5fcf2c6474e,Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3,1984,162671,medium,80,90,95,85,87.50,final
songs_master_of_puppets,songs,Master of Puppets,ListenBrainz all-time recordings / MusicBrainz,223,0151d8a4-50c8-4036-b824-4a4f4b140e8e,https://musicbrainz.org/recording/0151d8a4-50c8-4036-b824-4a4f4b140e8e,Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,1986,135474,medium,80,90,95,85,87.50,final
songs_pompeii,songs,Pompeii,ListenBrainz all-time recordings / MusicBrainz,371,9833ffbd-a387-415f-baab-dedd322529a9,https://musicbrainz.org/recording/9833ffbd-a387-415f-baab-dedd322529a9,Bastille,7808accb-6395-4b25-858c-678bbb73896b,2013,112025,short,80,90,95,85,87.50,final
songs_teardrop,songs,Teardrop,ListenBrainz all-time recordings / MusicBrainz,165,f3bba4cd-8018-468b-902e-bc8f029593e5,https://musicbrainz.org/recording/f3bba4cd-8018-468b-902e-bc8f029593e5,Massive Attack,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,1998,147440,short,80,85,95,85,86.25,final
songs_money,songs,Money,ListenBrainz all-time recordings / MusicBrainz,170,7fef22bd-76aa-4803-b56b-93a5d6e70662,https://musicbrainz.org/recording/7fef22bd-76aa-4803-b56b-93a5d6e70662,Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,1983,146962,short,80,90,95,80,86.25,final
